TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,TokenContractAddress,Type,TokenSymbol,TokensTransferred,TransactionFee,Status,ErrCode
0xe32d5fc4492db2549a1abb9417405bdddc306330006fe8739e797b07850ed4fc,9821667,2024-07-01 05:15:17.000000Z,0xb3d98dd918a6cec01F661702A7feB40178Abd756,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2801204934162,5127494978923,ok,
0xe32d5fc4492db2549a1abb9417405bdddc306330006fe8739e797b07850ed4fc,9821667,2024-07-01 05:15:17.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x0000000000000000000000000000000000000000,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,2801204934162,5127494978923,ok,
0xe32d5fc4492db2549a1abb9417405bdddc306330006fe8739e797b07850ed4fc,9821667,2024-07-01 05:15:17.000000Z,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,2896717369652,5127494978923,ok,
0xe32d5fc4492db2549a1abb9417405bdddc306330006fe8739e797b07850ed4fc,9821667,2024-07-01 05:15:17.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,2896717369652,5127494978923,ok,
0x57a91377fad45cf4d44ce52778b3a442a6c6b9dabeb89327530b0e4303b5892b,9834525,2024-07-01 12:23:53.000000Z,0x161D61e30284A33Ab1ed227beDcac6014877B3DE,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,165625818072,6689587018538,ok,
0x57a91377fad45cf4d44ce52778b3a442a6c6b9dabeb89327530b0e4303b5892b,9834525,2024-07-01 12:23:53.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x0000000000000000000000000000000000000000,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,165625818072,6689587018538,ok,
0x57a91377fad45cf4d44ce52778b3a442a6c6b9dabeb89327530b0e4303b5892b,9834525,2024-07-01 12:23:53.000000Z,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,171273146859,6689587018538,ok,
0x57a91377fad45cf4d44ce52778b3a442a6c6b9dabeb89327530b0e4303b5892b,9834525,2024-07-01 12:23:53.000000Z,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0xCc16Bfda354353B2E03214d2715F514706Be044C,OUT,vAMMV2-WETH/USDC,171273146859,6689587018538,ok,
0xcdacbcfd6a5310c64a27c4244cf7b7cb786f8cbb934a1ce708eda3ff051d5d77,9951811,2024-07-04 05:33:25.000000Z,0x651C636fC2adbB79fB2c8FBb1Cf3A6F76ff1fDd9,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,34458065103154,1723896701973,ok,
0xcdacbcfd6a5310c64a27c4244cf7b7cb786f8cbb934a1ce708eda3ff051d5d77,9951811,2024-07-04 05:33:25.000000Z,0xf2068e1FE1A80E7f5Ba80D6ABD6e8618aD4E959E,0x0000000000000000000000000000000000000000,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,,mooVelo Mode WETH-USDC,34458065103154,1723896701973,ok,
0xcdacbcfd6a5310c64a27c4244cf7b7cb786f8cbb934a1ce708eda3ff051d5d77,9951811,2024-07-04 05:33:25.000000Z,0x19D1F0A1a2FE5807958b34ADBc0d0569A93727C7,0x42f1A7795083eeE1f804DD4D33C5e69A0F32Bca4,0xCc16Bfda354353B2E03214d2715F514706Be044C,IN,vAMMV2-WETH/USDC,35698873745667,1723896701973,ok,
